"# Dubai buildings by registered sales 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-18. Free to republish with attribution and a link to https://data.tex.ae"
project,area,sales,median_psf,median_price,offplan_share
Hilton Residences Dubai Jumeirah Lakes Towers,JUMEIRAH LAKES TOWERS,64,3102,1272921,1.0
The Element at Sobha One,RAS AL KHOR INDUSTRIAL FIRST,63,2575,3101870,1.0
SEVEN CITY JLT,JUMEIRAH LAKES TOWERS,63,1227,572000,1.0
Ciel,DUBAI MARINA,63,7146,1131675,0.032
Verdana 7,DUBAI INVESTMENT PARK FIRST,63,1191,1338000,1.0
MAS Barsha Residency,AL BARSHA FIRST,63,1800,2801628,1.0
Antalya By Karma,DUBAI SPORTS CITY,63,1495,1155830,1.0
J188,SAMA AL JADAF,63,1600,1249188,1.0
DAMAC ISLANDS - SEYCHELLES 2,AL YELAYISS 1,63,1963,3042000,0.0
Camden,AL YELAYISS 2,63,1725,1600888,1.0
Selicon Star 2,SILICON OASIS,63,932,878600,0.0
Verdana Residence 9,DUBAI INVESTMENT PARK FIRST,62,1206,891186,1.0
Palace Residences - North,DUBAI CREEK HARBOUR,62,2709,2655000,0.0
The Cove ll,DUBAI CREEK HARBOUR,62,2294,2890000,0.435
Art House Hills by Adaan and Tuscany ,ARJAN,62,1787,1372393,1.0
Al Haseen Residence 3,DUBAI INDUSTRIAL CITY,62,1500,579408,1.0
La Tilia at Villanova Phase 2,WADI AL SAFA 5,61,1568,3400000,1.0
Artistry Two Residences,ZAABEEL SECOND,61,3181,2879000,1.0
AZIZI ZAIN ,AL FURJAN,60,1177,1510080,1.0
MAG EYE Phase 1,MBR DISTRICT 7,60,1858,1217500,0.0
Velos Residence,MOTOR CITY,60,2073,1219369,1.0
AVANT GARDE RESIDENCES II BY SKYLINE,JUMEIRAH VILLAGE CIRCLE,60,1438,1167482,1.0
PRIVE BY DAMAC,BUSINESS BAY,60,2174,1049000,0.0
Urban Life,BUSINESS BAY,60,2254,2082847,1.0
Allura Residences by Citi Developers,JUMEIRAH VILLAGE CIRCLE,60,1473,1065688,1.0
Cove Boulevard By Imtiaz,DUBAI LAND RESIDENCE COMPLEX,60,1666,1228039,1.0
Chapter 01 By Newbury Developments,INTERNATIONAL CITY PH 2 & 3,59,1177,760000,1.0
Rome 3 by SD ,WADI AL SAFA 3,59,782,960981,1.0
Verdana Residence 2 ,DUBAI INVESTMENT PARK FIRST,59,1214,533000,1.0
Binghatti Flare 01,JUMEIRAH VILLAGE TRIANGLE,59,1600,1269999,1.0
Binghatti Etherea,JUMEIRAH VILLAGE CIRCLE,59,2275,770999,1.0
TULIP OASIS 10,MAJAN,59,1268,1260000,0.712
Altan,AL KHAIRAN FIRST,59,2300,3292888,1.0
DAMAC LAGOONS - SANTORINI (1),AL HEBIAH FIFTH,58,1821,3250000,0.0
Solanki One,DUBAI LAND RESIDENCE COMPLEX,58,1042,802550,1.0
RAFFI BY AZIZI,AL FURJAN,58,1691,592785,1.0
JAD 288,AL SATWA,58,2250,1385288,1.0
